"etiqueta preferida","tipo","sinónimos y grafías alternativas","marcas (⚠, ≈, †, [F], [H]) como atributos de la fila","# de la fila del registro donde aparece por primera vez"
"ciclo, frecuencia y señal ancestral","concepto o entidad","n/a","n/a","C-1388"
"LECA sexual","concepto o entidad","n/a","n/a","C-1388"
"posición metodológica","concepto o entidad","n/a","n/a","C-1389"
"todos los eucariotas son sexuales salvo prueba en contrario","concepto o entidad","n/a","n/a","C-1389"
"mayor apoyo para ancestralidad que para universalidad actual","concepto o entidad","n/a","n/a","C-1390"
"sexo ancestral y sexo universal actual","concepto o entidad","n/a","n/a","C-1390"
"maquinaria mitótica ancestral","concepto o entidad","n/a","n/a","C-1391"
"cuatro innovaciones respecto de mitosis","concepto o entidad","n/a","n/a","C-1392"
"familia RecA","concepto o entidad","n/a","n/a","C-1393"
"RAD51","gen","Rad51","n/a","C-1393"
"RAD51 y DMC1","concepto o entidad","n/a","n/a","C-1393"
"meiosis eucariota","concepto o entidad","n/a","n/a","C-1394"
"recombinación homóloga bacteriana","concepto o entidad","n/a","n/a","C-1394"
"hipótesis de reparación como origen del sexo","concepto o entidad","n/a","n/a","C-1395"
"uso de homólogo para reparar ADN","concepto o entidad","n/a","n/a","C-1395"
"hipótesis de reducción de ploidía","concepto o entidad","n/a","n/a","C-1396"
"restauración de ploidía tras fusión","concepto o entidad","n/a","n/a","C-1396"
"hipótesis de apareamiento de homólogos","concepto o entidad","n/a","n/a","C-1397"
"mejora de segregación de homólogos","concepto o entidad","n/a","n/a","C-1397"
"expansión genómica favorece fusión y meiosis","concepto o entidad","n/a","n/a","C-1398"
"modelo de transición de transferencia lateral a sexo","concepto o entidad","n/a","n/a","C-1398"
"origen y mantenimiento del sexo","concepto o entidad","n/a","n/a","C-1399"
"preguntas históricas distintas","concepto o entidad","n/a","n/a","C-1399"
"lista de cuatro innovaciones sexuales de LECA en Goodenough y Heitman","concepto o entidad","n/a","n/a","C-1400"
"eliminación de mutaciones deletéreas","concepto o entidad","n/a","n/a","C-1401"
"hipótesis de purga de mutaciones","concepto o entidad","n/a","n/a","C-1401"
"pérdida estocástica de clases menos cargadas","concepto o entidad","n/a","n/a","C-1402"
"trinquete de Muller","concepto o entidad","n/a","n/a","C-1402"
"combinación de alelos beneficiosos","concepto o entidad","n/a","n/a","C-1403"
"hipótesis Fisher–Muller","concepto o entidad","n/a","n/a","C-1403"
"hipótesis de la Reina Roja para sexo","concepto o entidad","n/a","n/a","C-1404"
"respuesta a coevolución huésped-parásito","concepto o entidad","n/a","n/a","C-1404"
"diversificación de descendencia","concepto o entidad","n/a","n/a","C-1405"
"hipótesis de ambiente variable","concepto o entidad","n/a","n/a","C-1405"
"hipótesis de origen y de mantenimiento","concepto o entidad","n/a","n/a","C-1406"
"reparación de ADN","concepto o entidad","n/a","n/a","C-1406"
"diversidad completa de ciclos eucariotas","concepto o entidad","n/a","n/a","C-1407"
"hipótesis de mantenimiento del sexo","concepto o entidad","n/a","n/a","C-1407"
"asimetría de contribución y descendencia","concepto o entidad","n/a","n/a","C-1408"
"coste doble del sexo","concepto o entidad","n/a","n/a","C-1408"
"coste doble de los machos","concepto o entidad","n/a","n/a","C-1409"
"linajes isógamos","concepto o entidad","n/a","n/a","C-1409"
"búsqueda de pareja","concepto o entidad","n/a","n/a","C-1410"
"tiempo, riesgo y oportunidad","concepto o entidad","n/a","n/a","C-1410"
"fusión sexual","concepto o entidad","n/a","n/a","C-1411"
"reconocimiento, membranas y cariogamia","concepto o entidad","n/a","n/a","C-1411"
"tiempo, maquinaria y riesgo cromosómico","concepto o entidad","n/a","n/a","C-1412"
"recombinación","concepto o entidad","n/a","n/a","C-1413"
"ruptura de asociaciones favorables","concepto o entidad","n/a","n/a","C-1413"
"ciclo de ploidía","concepto o entidad","n/a","n/a","C-1414"
"ventajas y costes dependientes de haploidía/diploidía","concepto o entidad","n/a","n/a","C-1414"
"coste energético de sexo en holozoos unicelulares","concepto o entidad","n/a","n/a","C-1415"
"coste de encontrar pareja en Salpingoeca rosetta","concepto o entidad","n/a","n/a","C-1416"
"transición haploide–diploide","concepto o entidad","n/a","n/a","C-1417"
"diploidía","concepto o entidad","n/a","n/a","C-1418"
"Salpingoeca rosetta bajo limitación de nutrientes","concepto o entidad","n/a","n/a","C-1418"
"apareamiento anisógamo","concepto o entidad","n/a","n/a","C-1419"
"anisogamia de Salpingoeca rosetta","concepto o entidad","n/a","n/a","C-1420"
"homología con sexos animales","concepto o entidad","n/a","n/a","C-1420"
"compromiso tamaño–número","concepto o entidad","n/a","n/a","C-1421"
"modelo de anisogamia por selección disruptiva","concepto o entidad","n/a","n/a","C-1421"
"anisogamia","concepto o entidad","n/a","n/a","C-1422"
"selección disruptiva sobre tamaño gamético","concepto o entidad","n/a","n/a","C-1422"
"historia concreta de Salpingoeca rosetta o LECA","concepto o entidad","n/a","n/a","C-1423"
"teoría de anisogamia","concepto o entidad","n/a","n/a","C-1423"
"Dictyostelium discoideum","concepto o entidad","n/a","n/a","C-1424"
"tres tipos de apareamiento","concepto o entidad","n/a","n/a","C-1424"
"fusión haploide y formación de macrocisto","concepto o entidad","n/a","n/a","C-1425"
"células vecinas atraídas","concepto o entidad","n/a","n/a","C-1426"
"cigoto de Dictyostelium discoideum","concepto o entidad","n/a","n/a","C-1426"
"germinación infrecuente en laboratorio","concepto o entidad","n/a","n/a","C-1427"
"macrocistos de Dictyostelium discoideum","concepto o entidad","n/a","n/a","C-1427"
"dos tipos universales","concepto o entidad","n/a","n/a","C-1428"
"tipos de apareamiento","concepto o entidad","n/a","n/a","C-1428"
"firmas de recombinación poblacional","concepto o entidad","n/a","n/a","C-1429"
"sexo críptico","concepto o entidad","n/a","n/a","C-1429"
"firmas poblacionales de recombinación","concepto o entidad","n/a","n/a","C-1430"
"mecanismo citológico","concepto o entidad","n/a","n/a","C-1430"
"137 fragmentos génicos","concepto o entidad","n/a","n/a","C-1431"
"muestreo de Dictyostelium discoideum","concepto o entidad","n/a","n/a","C-1431"
"señales poblacionales de recombinación frecuente","concepto o entidad","n/a","n/a","C-1432"
"Pseudoperkinsus tapetis","concepto o entidad","n/a","n/a","C-1433"
"*Pseudoperkinsus tapetis*","taxón","Pseudoperkinsus tapetis","n/a","C-1433"
"sexo críptico y fase vegetativa haploide inferidos","concepto o entidad","n/a","n/a","C-1433"
"caso de sexo críptico ictiospóreo","concepto o entidad","n/a","n/a","C-1434"
"diplomixis durante enquistamiento","concepto o entidad","n/a","n/a","C-1435"
"diplomixis de Giardia","concepto o entidad","n/a","n/a","C-1436"
"uso de SPO11, HOP1 y DMC1 sin meiosis canónica","concepto o entidad","n/a","n/a","C-1436"
"cooptación de genes meióticos en parasexualidad","concepto o entidad","n/a","n/a","C-1437"
"evaluación de sexo críptico","concepto o entidad","n/a","n/a","C-1439"
"integración de múltiples clases de evidencia","concepto o entidad","n/a","n/a","C-1439"
"sexo observado en cuatro Ichthyosporea del corredor","concepto o entidad","n/a","n/a","C-1440"
"Fisculla terrestris","concepto o entidad","n/a","n/a","C-1441"
"fusión y expresión asociada a meiosis bajo inanición","concepto o entidad","n/a","n/a","C-1441"
"inducción ambiental de componentes sexuales","concepto o entidad","n/a","n/a","C-1442"
"Bangiomorpha pubescens","concepto o entidad","n/a","n/a","C-1443"
"† *Bangiomorpha pubescens*","taxón fósil","Bangiomorpha pubescens","†","C-1443"
"diferenciación reproductiva inferida","concepto o entidad","n/a","n/a","C-1443"
"organismo sexual","concepto o entidad","n/a","n/a","C-1444"
"meiosis directa","concepto o entidad","n/a","n/a","C-1445"
"1.047 +0.013/−0.017 Ga","concepto o entidad","n/a","n/a","C-1446"
"origen de sexo en LECA","concepto o entidad","n/a","n/a","C-1447"
"apareamiento de Salpingoeca rosetta mediante EroS","concepto o entidad","n/a","n/a","C-1448"
"Vibrio fischeri","concepto o entidad","n/a","n/a","C-1448"
"condroitin liasa sobre condroitín sulfato de Salpingoeca rosetta","concepto o entidad","n/a","n/a","C-1449"
"enjambres dentro de 30 minutos","concepto o entidad","n/a","n/a","C-1450"
"Salpingoeca rosetta expuesta a Vibrio fischeri","concepto o entidad","n/a","n/a","C-1450"
"fusión celular de Salpingoeca rosetta","concepto o entidad","n/a","n/a","C-1451"
"minutos","concepto o entidad","n/a","n/a","C-1451"
"cariogamia posterior a plasmogamia","concepto o entidad","n/a","n/a","C-1452"
"descendencia recombinante tras apareamiento","concepto o entidad","n/a","n/a","C-1453"
"apareamiento a concentraciones ambientalmente relevantes","concepto o entidad","n/a","n/a","C-1454"
"condroitin liasas bacterianas","concepto o entidad","n/a","n/a","C-1454"
"0.2–1 μg/ml; aproximadamente 2–8 nM","concepto o entidad","n/a","n/a","C-1455"
"EroS experimental","concepto o entidad","n/a","n/a","C-1455"
"0.05 U/ml","concepto o entidad","n/a","n/a","C-1456"
"respuesta a EroS","concepto o entidad","n/a","n/a","C-1457"
"reversión de plasmogamia o cariogamia","concepto o entidad","n/a","n/a","C-1457"
"reversibilidad poblacional tras retirar EroS","concepto o entidad","n/a","n/a","C-1458"
"limitación nutricional y condroitinasa bacteriana","concepto o entidad","n/a","n/a","C-1459"
"señales sexuales de Salpingoeca rosetta","concepto o entidad","n/a","n/a","C-1459"
"integración de señales sexuales en Salpingoeca rosetta","concepto o entidad","n/a","n/a","C-1460"
"observación experimental en Salpingoeca rosetta","concepto o entidad","n/a","n/a","C-1461"
"sexo en el corredor","concepto o entidad","n/a","n/a","C-1461"
"evidencia sexual comparada","concepto o entidad","n/a","n/a","C-1462"
"observación directa en Salpingoeca superior a inventario genómico","concepto o entidad","n/a","n/a","C-1462"
"desacoplamiento de componentes sexuales","concepto o entidad","n/a","n/a","C-1463"
"reconstrucción ancestral inferida","concepto o entidad","n/a","n/a","C-1464"
"frecuencia de sexo ancestral","concepto o entidad","n/a","n/a","C-1465"
"tipo gamético de LECA","concepto o entidad","n/a","n/a","C-1466"
"señal sexual de LECA","concepto o entidad","n/a","n/a","C-1467"
"frecuencia, obligación o dominancia","concepto o entidad","n/a","n/a","C-1468"
"presencia de sexo","concepto o entidad","n/a","n/a","C-1468"
"entidades mecanísticas separadas","concepto o entidad","n/a","n/a","C-1469"
"meiosis, sexo y recombinación","concepto o entidad","n/a","n/a","C-1469"
"Ministeria vibrans","concepto o entidad","n/a","n/a","C-1470"
"repertorio meiótico y de singamia sin REC8 detectado","concepto o entidad","n/a","n/a","C-1470"
"expresión diferencial de genes de meiosis y singamia","concepto o entidad","n/a","n/a","C-1471"
"Ministeria vibrans en agregación","concepto o entidad","n/a","n/a","C-1471"
"aproximadamente 10 % frente a menos de 2 % de doble tinción","concepto o entidad","n/a","n/a","C-1472"
"fusión celular observada por videomicroscopía","concepto o entidad","n/a","n/a","C-1473"
"evidencia sexual en Ministeria vibrans","concepto o entidad","n/a","n/a","C-1474"
"señal compatible pero no concluyente","concepto o entidad","n/a","n/a","C-1474"
"evidencia parcial de ciclo sexual","concepto o entidad","n/a","n/a","C-1475"
"nombre nomenclatural","concepto nomenclatural","available name; validly published name","n/a","C-1680"
"nombre disponible o válidamente publicado","concepto o entidad terminológica","n/a","n/a","C-1681"
"taxón aceptado","concepto taxonómico","accepted taxon","n/a","C-1682"
"taxón aceptado por clasificación o base de datos","concepto o entidad terminológica","n/a","n/a","C-1682"
"clado filogenéticamente respaldado","concepto filogenético","supported clade","n/a","C-1683"
"clado filogenético","concepto o entidad terminológica","n/a","n/a","C-1683"
"rótulo informal de clasificación","concepto o entidad terminológica","n/a","n/a","C-1685"
"clado respaldado filogenéticamente","concepto o entidad terminológica","n/a","n/a","C-1686"
"nombre establecido bajo PhyloCode","concepto o entidad terminológica","n/a","n/a","C-1686"
"PhyloCode","código nomenclatural filogenético","International Code of Phylogenetic Nomenclature","n/a","C-1686"
"corpus Eukaryota→Holozoa","concepto o entidad terminológica","n/a","n/a","C-1687"
"ICZN","código nomenclatural","International Code of Zoological Nomenclature","n/a","C-1688"
"nombre zoológico disponible","concepto o entidad terminológica","n/a","n/a","C-1690"
"nombre zoológico válido","concepto o entidad terminológica","n/a","n/a","C-1691"
"validez bajo ICZN","concepto o entidad terminológica","n/a","n/a","C-1692"
"Metazoa y Animalia","concepto o entidad terminológica","n/a","n/a","C-1693"
"ICN","código nomenclatural","Madrid Code; International Code of Nomenclature for algae, fungi, and plants","n/a","C-1694"
"Madrid Code","concepto o entidad terminológica","n/a","n/a","C-1694"
"alga","término funcional","algae","⚠","C-1696"
"aplicación del ICN","concepto o entidad terminológica","n/a","n/a","C-1697"
"nombre de oomiceto","concepto o entidad terminológica","n/a","n/a","C-1698"
"Oomycota","clado","oomycetes","[F]","C-1698"
"ICNP","código nomenclatural","Prokaryotic Code","n/a","C-1699"
"ICNP 2025 Revision","concepto o entidad terminológica","n/a","n/a","C-1699"
"procariota","término celular y taxonómico","prokaryote; procaryote","⚠","C-1700"
"nombres procarióticos del corredor","concepto o entidad terminológica","n/a","n/a","C-1702"
"PhyloCode versión 6","concepto o entidad terminológica","n/a","n/a","C-1703"
"RegNum","base de datos nomenclatural","Phylogenetic Nomenclature Database","n/a","C-1708"
"búsqueda negativa en RegNum","concepto o entidad terminológica","n/a","n/a","C-1709"
"Phylonyms","volumen nomenclatural","A Companion to the PhyloCode","n/a","C-1710"
"Eukarya sensu Phylonyms","clado definido filogenéticamente","Eukarya Registration 42","≈","C-1712"
"Amorphea sensu Phylonyms","concepto o entidad terminológica","n/a","n/a","C-1713"
"Opisthokonta sensu Phylonyms","concepto o entidad terminológica","n/a","n/a","C-1714"
"nombres del corredor buscados en Phylonyms y RegNum","concepto o entidad terminológica","n/a","n/a","C-1715"
"clasificación de Adl et al. 2019","concepto o entidad terminológica","n/a","n/a","C-1716"
"nombres principales del corredor","concepto o entidad terminológica","n/a","n/a","C-1717"
"nombres de género y especie","concepto o entidad terminológica","n/a","n/a","C-1718"
"Fungi en Ruggiero et al. 2015","concepto taxonómico de autor","Fungi","n/a","C-1719"
"reino","rango taxonómico","kingdom","⚠","C-1719"
"Animalia o Metazoa como reino","concepto o entidad terminológica","n/a","n/a","C-1720"
"marca ⚠","convención documental","n/a","n/a","C-1721"
"marca [F]","convención documental","n/a","n/a","C-1723"
"marca [H]","convención documental","n/a","n/a","C-1724"
"población ancestral reconstruida","concepto o entidad terminológica","n/a","n/a","C-1726"
"fósil antiguo","concepto o entidad terminológica","n/a","n/a","C-1730"
"linaje viviente","concepto o entidad terminológica","n/a","n/a","C-1731"
"Eukaryota en el corpus","concepto o entidad terminológica","n/a","n/a","C-1732"
"tallo FECA–LECA","concepto o entidad terminológica","n/a","n/a","C-1733"
"fósil del grupo total de Eukaryota","concepto o entidad terminológica","n/a","n/a","C-1734"
"desacuerdo entre relojes y fósiles","concepto o entidad terminológica","n/a","n/a","C-1735"
"fósil holozoo","concepto o entidad terminológica","n/a","n/a","C-1736"
"Eucarya sensu Woese et al.","concepto taxonómico histórico","Eucarya","≈ ⚠","C-1737"
"Eukaryota sensu Adl et al. 2019","concepto o entidad terminológica","n/a","n/a","C-1738"
"Eucarya, Eukarya y Eukaryota","concepto o entidad terminológica","n/a","n/a","C-1740"
"Unikonta sensu histórico","concepto taxonómico histórico","Unikonta","⚠","C-1742"
"Unikonta–Bikonta","concepto o entidad terminológica","n/a","n/a","C-1743"
"Amorphea sensu Adl et al. 2012","concepto o entidad terminológica","n/a","n/a","C-1744"
"Podiata","concepto con circunscripciones rivales","Podiates","≈ ⚠","C-1747"
"Opisthokonta sensu moderno","clado","Opisthokonta Registration 72","[F]","C-1752"
"Opisthokonta sensu Copeland 1956","concepto taxonómico histórico","n/a","⚠","C-1754"
"Holomycota y Nucletmycea","concepto o entidad terminológica","n/a","n/a","C-1756"
"primera introducción de Holozoa","concepto o entidad terminológica","n/a","n/a","C-1758"
"Choanozoa sensu stricto ≈ Apoikozoa","concepto o entidad terminológica","n/a","n/a","C-1770"
"Pluriformea/Corallochytrea sensu Liu et al.","concepto o entidad terminológica","n/a","n/a","C-1775"
"Pluriformea, Corallochytrea y Corallochytrium","concepto o entidad terminológica","n/a","n/a","C-1776"
"Protista","concepto o entidad terminológica","n/a","n/a","C-1777"
"Protista sensu Haeckel","reino histórico","Protista","⚠","C-1777"
"Protista residual","concepto o entidad terminológica","n/a","n/a","C-1779"
"protista informal","término funcional","protist","⚠","C-1782"
"Protozoa sensu Goldfuss","taxón histórico","Protozoa","⚠","C-1783"
"Protozoa sensu Ruggiero et al. 2015","concepto taxonómico de autor","Protozoa","⚠","C-1784"
"conjunto de eucariotas unicelulares","concepto o entidad terminológica","n/a","n/a","C-1785"
"protozoo informal","concepto o entidad terminológica","n/a","n/a","C-1787"
"algas en Guiry 2024","concepto o entidad terminológica","n/a","n/a","C-1789"
"AlgaeBase en Guiry 2024","concepto o entidad terminológica","n/a","n/a","C-1790"
"algas verdeazules","concepto o entidad terminológica","n/a","n/a","C-1791"
"Cyanobacteria","concepto o entidad terminológica","n/a","n/a","C-1791"
"invertebrado","término negativo","invertebrate","⚠","C-1794"
"invertebrados","concepto o entidad terminológica","n/a","n/a","C-1794"
"invertebrados sensu Lamarck","concepto o entidad terminológica","n/a","n/a","C-1794"
"uso de procaryotes y eucaryotes por Chatton","concepto o entidad terminológica","n/a","n/a","C-1799"
"dicotomía procariota–eucariota","concepto o entidad terminológica","n/a","n/a","C-1800"
"procariotas como Bacteria+Archaea sin Eukaryota","concepto o entidad terminológica","n/a","n/a","C-1802"
"procariota taxonómico","concepto o entidad terminológica","n/a","n/a","C-1803"
"procariota descriptivo","concepto o entidad terminológica","n/a","n/a","C-1804"
"acritarco identificado","concepto o entidad terminológica","n/a","n/a","C-1807"
"sistema de cinco reinos","clasificación histórica","n/a","n/a","C-1810"
"sistema de seis reinos","clasificación histórica","n/a","n/a","C-1811"
"sistema de siete reinos","clasificación histórica","n/a","n/a","C-1812"
"número de reinos","concepto o entidad terminológica","n/a","n/a","C-1813"
"Archezoa","hipótesis y taxón histórico","Archezoa","⚠","C-1816"
"linajes arquezoos históricos","concepto o entidad terminológica","n/a","n/a","C-1817"
"hidrogenosomas y mitosomas","concepto o entidad terminológica","n/a","n/a","C-1818"
"hipótesis Archezoa amitochondrial","hipótesis","n/a","n/a","C-1819"
"Excavata","concepto o entidad terminológica","n/a","n/a","C-1822"
"Excavata sensu histórico","supergrupo histórico","Excavata","⚠ [H]","C-1822"
"análisis de Excavata de Hampl et al.","concepto o entidad terminológica","n/a","n/a","C-1823"
"Chromalveolata","hipótesis histórica","chromalveolates","⚠ [H]","C-1828"
"hipótesis Chromalveolata","hipótesis","n/a","n/a","C-1828"
"monofilia plastidial de Chromalveolata","concepto o entidad terminológica","n/a","n/a","C-1831"
"rechazo de Chromalveolata","concepto o entidad terminológica","n/a","n/a","C-1833"
"Unikonta y Bikonta","concepto o entidad terminológica","n/a","n/a","C-1835"
"raíz Unikonta–Bikonta","concepto o entidad terminológica","n/a","n/a","C-1838"
"oomicetos llamados hongos","concepto o entidad terminológica","n/a","n/a","C-1840"
"mohos mucilaginosos","categoría ecológico-morfológica","slime molds","⚠","C-1842"
"mohos mucilaginosos estudiados","concepto o entidad terminológica","n/a","n/a","C-1843"
"hongo vernacular","concepto o entidad terminológica","n/a","n/a","C-1844"
"organismo semejante a hongo","concepto o entidad terminológica","n/a","n/a","C-1845"
"flagelo bacteriano","orgánulo de motilidad","bacterial flagellum","n/a","C-1846"
"terminología de motilidad del corpus","concepto o entidad terminológica","n/a","n/a","C-1850"
"mutualismo","concepto o entidad terminológica","n/a","n/a","C-1851"
"simbiosis sensu lato","tipo de interacción","symbiosis","⚠","C-1851"
"simbiosis en el corpus","concepto o entidad terminológica","n/a","n/a","C-1855"
"endosimbiosis seriada","concepto o entidad terminológica","n/a","n/a","C-1856"
"teoría de endosimbiosis seriada","hipótesis compuesta","serial endosymbiosis theory","[H]","C-1856"
"origen endosimbiótico de mitocondrias","concepto o entidad terminológica","n/a","n/a","C-1857"
"plasto primario","orgánulo","n/a","n/a","C-1858"
"hipótesis espiroquetal de cilios","hipótesis","n/a","n/a","C-1859"
"eucariota primitivo","término desaconsejado","primitive eukaryote","⚠","C-1862"
"complejidad biológica","concepto o entidad terminológica","n/a","n/a","C-1866"
"organismo simple","término no operacional","simple organism","⚠","C-1867"
"simple","concepto o entidad terminológica","n/a","n/a","C-1867"
"organismo unicelular","concepto o entidad terminológica","n/a","n/a","C-1868"
"fósil viviente","término controvertido","living fossil","⚠","C-1870"
"modelo estándar de estasis de un carácter","concepto o entidad","n/a","n/a","C-1871"
"eslabón perdido","metáfora histórica","missing link","⚠","C-1875"
"fósil transicional","concepto o entidad terminológica","n/a","n/a","C-1876"
"primera acuñación de missing link","concepto o entidad terminológica","n/a","n/a","C-1878"
"basal","concepto o entidad terminológica","n/a","n/a","C-1880"
"nodo basal","concepto o entidad terminológica","n/a","n/a","C-1880"
"basal aplicado a un linaje viviente","uso terminológico rechazado","basal lineage","⚠","C-1881"
"linaje viviente basal","concepto o entidad terminológica","n/a","n/a","C-1881"
"linajes vivientes hermanos","concepto o entidad terminológica","n/a","n/a","C-1882"
"linaje pobre en especies","concepto o entidad terminológica","n/a","n/a","C-1883"
"linaje basal","concepto o entidad terminológica","n/a","n/a","C-1884"
"términos no cladísticos del corpus","concepto o entidad terminológica","n/a","n/a","C-1886"
"Protista e invertebrado","concepto o entidad terminológica","n/a","n/a","C-1887"
"alga y protozoo","concepto o entidad terminológica","n/a","n/a","C-1888"
"Archezoa y Chromalveolata","concepto o entidad terminológica","n/a","n/a","C-1891"
"lenguaje escalonado","concepto o entidad terminológica","n/a","n/a","C-1892"
"lenguaje del corpus","concepto o entidad terminológica","n/a","n/a","C-1893"
"asignación de código a todos los protistas ambiregnales","concepto o entidad terminológica","n/a","n/a","C-1894"
"estatuto de cada nombre específico del corpus","concepto o entidad terminológica","n/a","n/a","C-1895"
"EGTA","reactivo experimental","ethylene glycol-bis(β-aminoethyl ether)-N,N,N′,N′-tetraacetic acid","n/a","C-1527"
"aphidicolina","reactivo experimental","aphidicolin","n/a","C-1502"
"relación núcleo-citoplasma","magnitud fisiológica","nuclear-to-cytoplasmic ratio; N/C ratio","n/a","C-1513"
"matriz extracelular","rasgo","extracellular matrix; ECM","n/a","C-1492"
"multicelularidad clonal-agregativa","rasgo","clonal-aggregative multicellularity","n/a","C-1487"
"hipótesis temporal-a-espacial","hipótesis","temporal-to-spatial transition hypothesis","[H]","C-1596"
"levadura snowflake","población experimental","snowflake yeast","n/a","C-1547"
"división sin separación","concepto o entidad","n/a","n/a","C-1482"
"agregación de células independientes","rasgo o proceso","n/a","n/a","C-1483"
"cenocito","rasgo o proceso","n/a","n/a","C-1484"
"múltiples núcleos en citoplasma continuo","magnitud o valor","n/a","n/a","C-1484"
"celularización","rasgo o proceso","n/a","n/a","C-1485"
"células a partir de un cenocito","rasgo o proceso","n/a","n/a","C-1485"
"rutas de multicelularidad","rasgo o proceso","n/a","n/a","C-1486"
"niveles de progreso","concepto o entidad","n/a","n/a","C-1486"
"afirmación de exclusión universal entre clonación y agregación","rasgo o proceso","n/a","n/a","C-1488"
"ruta clonal","rasgo o proceso","n/a","n/a","C-1489"
"relación genética y conflicto","rasgo o proceso","n/a","n/a","C-1489"
"ruta agregativa","rasgo o proceso","n/a","n/a","C-1490"
"quimerismo","concepto o entidad","n/a","n/a","C-1490"
"desarrollo clonal de rosetas","rasgo o proceso","n/a","n/a","C-1491"
"roseta de Salpingoeca rosetta","organismo o población experimental","n/a","n/a","C-1492"
"puentes intercelulares y matriz extracelular","concepto o entidad","n/a","n/a","C-1492"
"rosetas de Salpingoeca rosetta","organismo o población experimental","n/a","n/a","C-1493"
"señal bacteriana RIF","concepto o entidad","n/a","n/a","C-1494"
"programa de desarrollo clonal","concepto o entidad","n/a","n/a","C-1494"
"coste de mantener una roseta de Salpingoeca rosetta","organismo o población experimental","n/a","n/a","C-1495"
"láminas polarizadas con contactos collar-collar","rasgo o proceso","n/a","n/a","C-1496"
"transición luz-oscuridad mediante inversión de lámina","rasgo o proceso","n/a","n/a","C-1497"
"división cada aproximadamente 8–10 h","magnitud o valor","n/a","n/a","C-1498"
"inicio de agregación en minutos","rasgo o proceso","n/a","n/a","C-1499"
"maduración de agregado dentro de 24 h","magnitud o valor","n/a","n/a","C-1500"
"láminas agregativas de Choanoeca flexa","organismo o población experimental","n/a","n/a","C-1501"
"aproximadamente 50 células de media y hasta aproximadamente 120","magnitud o valor","n/a","n/a","C-1501"
"Choanoeca flexa tratada con aphidicolina","organismo o población experimental","n/a","n/a","C-1502"
"agregación independiente de replicación","rasgo o proceso","n/a","n/a","C-1502"
"Choanoeca flexa en pozas costeras","organismo o población experimental","n/a","n/a","C-1503"
"ausencia observada de láminas activas por encima de 94 ppt","rasgo o proceso","n/a","n/a","C-1503"
"presencia de láminas de Choanoeca flexa","organismo o población experimental","n/a","n/a","C-1504"
"62.1 ± 24.8 ppt frente a 146.3 ± 95.7 ppt","magnitud o valor","n/a","n/a","C-1504"
"evaporación y rehidratación reversibles","magnitud o valor","n/a","n/a","C-1505"
"reconocimiento de parentesco o cepa en agregación","rasgo o proceso","n/a","n/a","C-1506"
"crecimiento cenocítico seguido de celularización","rasgo o proceso","n/a","n/a","C-1507"
"ciclos nucleares de aproximadamente 11–12 h","magnitud o valor","n/a","n/a","C-1508"
"desacoplamiento entre división nuclear y tamaño celular","concepto o entidad","n/a","n/a","C-1509"
"hasta 128 núcleos antes de celularización","rasgo o proceso","n/a","n/a","C-1510"
"celularización dependiente de actomiosina","rasgo o proceso","n/a","n/a","C-1511"
"capa epitelial en organización, no en identidad taxonómica","concepto o entidad","n/a","n/a","C-1512"
"relación núcleo-citoplasma en Sphaeroforma arctica","organismo o población experimental","n/a","n/a","C-1513"
"inicio de celularización","rasgo o proceso","n/a","n/a","C-1513"
"mecanismo de Sphaeroforma arctica","organismo o población experimental","n/a","n/a","C-1514"
"mecanismo ancestral de Metazoa","concepto o entidad","n/a","n/a","C-1514"
"ciclo con amebas y cenocito","rasgo o proceso","n/a","n/a","C-1515"
"genoma de Creolimax fragrantissima","organismo o población experimental","n/a","n/a","C-1516"
"aproximadamente 45 Mb y 82 scaffolds","magnitud o valor","n/a","n/a","C-1516"
"8,695 genes y 6.5 intrones por gen","magnitud o valor","n/a","n/a","C-1517"
"regulación transcripcional dependiente del estadio","concepto o entidad","n/a","n/a","C-1518"
"Ichthyosporea cenocíticos","magnitud o valor","n/a","n/a","C-1519"
"divisiones tipo clivaje e intrones escasos","magnitud o valor","n/a","n/a","C-1520"
"genoma de Corallochytrium limacisporum","organismo o población experimental","n/a","n/a","C-1521"
"24.1 Mb y 7,535 genes","magnitud o valor","n/a","n/a","C-1521"
"0.0 intrones por kbp de CDS","magnitud o valor","n/a","n/a","C-1522"
"ciclo de tres estadios","concepto o entidad","n/a","n/a","C-1523"
"agregado de Capsaspora owczarzaki","organismo o población experimental","n/a","n/a","C-1525"
"matriz extracelular entre células","concepto o entidad","n/a","n/a","C-1525"
"calcio y factores lipoproteicos","concepto o entidad","n/a","n/a","C-1526"
"EGTA mediante reducción de agregación","rasgo o proceso","n/a","n/a","C-1527"
"lípidos endocitados","concepto o entidad","n/a","n/a","C-1528"
"respuesta morfológica en segundos","concepto o entidad","n/a","n/a","C-1529"
"agregación inducida en cultivo monoxénico","rasgo o proceso","n/a","n/a","C-1530"
"Thalassospira en cultivo de Ministeria vibrans","organismo o población experimental","n/a","n/a","C-1531"
"63% de abundancia relativa","concepto o entidad","n/a","n/a","C-1531"
"decenas de células en 24 h y cientos en agregados maduros","magnitud o valor","n/a","n/a","C-1532"
"Ministeria vibrans tratada con aphidicolina","organismo o población experimental","n/a","n/a","C-1533"
