"magnitud","valor tal como lo publica la fuente","unidad original","organismo, nodo o intervalo al que se aplica","método o proxy","incertidumbre publicada","observado o inferido","fuente con localizador","#"
"ingestión de bacterias por *Salpingoeca* asociada a diatomeas","35–65","bacterias célula⁻¹ h⁻¹","*Salpingoeca* en el sistema diatomea–bacterias del estudio","ensayo de ingestión durante los primeros 30 min","rango específico del protocolo y las presas","observado","S506 resumen; resultados","C-912"
"inicio de agregación de *Capsaspora*","~20","min","*Capsaspora owczarzaki* bajo inanición","microscopía temporal","fase y protocolo específicos","observado","S427 resultados; figs. 1–2","C-930"
"desagregación completa de *Capsaspora*","~26","h","*Capsaspora owczarzaki* bajo inanición","microscopía temporal","fase y protocolo específicos","observado","S427 resultados; figs. 1–2","C-931"
"reagregación de *Capsaspora* tras reañadir suero","~10","min","*Capsaspora owczarzaki*","microscopía temporal","fase y protocolo específicos","observado","S427 resultados; figs. 1–2","C-932"
"cepas bacterianas con inducción positiva frente a panel nulo","15 *Algoriphagus* + 6 Bacteroidetes adicionales; cepas no-Bacteroidetes ensayadas sin inducción","cepas","panel de inducción de rosetas de *Salpingoeca rosetta*","ensayo de formación de rosetas","el nulo solo corresponde al extremo de inducción de rosetas","observado","S201 resultados; fig. 1 y suplemento","C-982"
"genes posibles de transferencia endosimbiótica","30","candidatos","*Hatena arenicola*","análisis genómico y transcriptómico resumido en informe final de proyecto","candidatos posibles sin validación funcional publicada en el informe","inferido","S511 resumen final del proyecto","C-1071"
"genomas incluidos en filogenómica de reducción endosimbionte","más de 200","genomas","Enterobacterales libres y endosimbiontes","filogenómica y reconstrucción de familias génicas","muestreo del orden; no tasa universal","observado","S512 resumen; métodos","C-1088"
"simbiosis y familias de insectos del análisis de correlatos","1.850; 402","simbiosis; familias","insectos","base comparativa y modelos filogenéticos","muestreo restringido a insectos","observado","S513 resumen; métodos","C-1121"
"reciclaje modelado de N derivado del hospedador","aprox. 30–80 frente a 10–15","% del N derivado del hospedador","simbiontes de ≤0,3 Mb frente a ≥0,6 Mb en tres insectos xilófagos","modelos metabólicos multicompartimentales","sistemas y modelos específicos","inferido","S515 resumen; resultados; figs. 6–7","C-1205"
"fracción genómica de elementos transponibles","aprox. 5–9; menos de 2,5","% del genoma","*Salpingoeca*, *Sphaeroforma*, *Abeoforma* y *Pirum* frente a otros holozoos seleccionados","anotación comparativa de elementos repetitivos","dependiente de especie, anotación y continuidad del ensamblaje","inferido","S434 resultados; suplemento","C-1222"
"temperatura y mantenimiento de cultivo sin tasa de división","18–25; 2","°C; semanas entre repiques","*Thecamonas trahens* ATCC 50062","ficha de mantenimiento de cepa","condiciones de cultivo, no tiempo de generación","observado","S519 métodos de cultivo, ficha de producto, Handling information","C-1619; C-1669"
"transiciones independientes hacia especialización osmotrófica","4","transiciones","Fungi, Teretosporea, Pseudofungi y Labyrinthulea","filogenómica y reconstrucción evolutiva","muestreo de cuatro grupos; no censo pan-eucariota de pérdidas","inferido","S509 resumen; resultados","C-1659"
"orígenes restringidos de parasitismo y simbiosis obligada","≥223 en 15 filos; ≥16 en 89 familias","orígenes y unidades taxonómicas","Animalia; familias de insectos","revisión filogenética y modelos a escala familiar","definiciones y denominadores distintos; no frecuencia pan-eucariota","inferido","S517 resumen; S513 resultados","C-1664"
"unidades taxonómicas operativas analizadas","75,975","OTU","muestreo de Sandin et al. 2026","recuento del conjunto de datos","n/a","observado","S548 métodos; conjunto de datos","C-786"
"calibraciones temporales","77","calibraciones","análisis temporal de Sandin et al. 2026","recuento declarado por el estudio","n/a","observado","S548 métodos; calibraciones","C-787"
"árboles filogenéticos evaluados","32","árboles","análisis filogenético de Sandin et al. 2026","recuento declarado por el estudio","n/a","observado","S548 métodos; conjunto de árboles","C-788"
"réplicas de TreePL","100","réplicas","análisis temporal de Sandin et al. 2026","TreePL","n/a","observado","S548 métodos; TreePL","C-789"
"condiciones del cultivo para ciclos nucleares","12; 37.4","°C; g L^-1 de marine broth Difco","Sphaeroforma arctica","cultivo y microscopía temporal","condiciones del experimento, no constantes de especie","observado","S207 métodos, Experimental Model; fig. 1","C-1668"
"diseño de acumulación de mutaciones nuclear","3; aproximadamente 1.000; 1","líneas; generaciones; mutación nuclear","Dictyostelium discoideum","acumulación de mutaciones y secuenciación","estimador dominado por un evento","observado","S448 §Nuclear mutations","C-1671"
"diseño de acumulación de mutaciones germinal","7; aproximadamente 3.300; 29; 63.2","líneas; divisiones; sustituciones; Mb analizables por línea","Paramecium tetraurelia","acumulación de mutaciones y secuenciación","promedio de bases analizables por línea","observado","S449 Results; tabla 1","C-1672"
"diseño de acumulación de mutaciones germinal","8; aproximadamente 1.000; 5","líneas analizables; divisiones; sustituciones validadas","Tetrahymena thermophila","acumulación de mutaciones y secuenciación","recuento pequeño de eventos; intervalos amplios","observado","S450 §Mutation Rate","C-1673"
"inventario de superóxido dismutasas en MAG asgard","58; 8; 3","MAG; grupos taxonómicos; familias enzimáticas","Asgardarchaeota","anotación genómica y clasificación filogenética","distribución dependiente del conjunto de 404 MAG analizado","inferido","S27 Supplementary Discussion §Oxygen metabolism and ROS tolerance, p. 24; fig. S62; tabla S8","C-840"
"inventario de catalasas en MAG asgard","116","MAG","Asgardarchaeota","anotación genómica","distribución dependiente del conjunto de 404 MAG analizado","inferido","S27 Supplementary Discussion §Oxygen metabolism and ROS tolerance, p. 25; fig. S63; tabla S8","C-840"
"pO₂ atmosférica paleoproterozoica estimada","cerca de 0,1","% PAL","Paleoproterozoico, Grupo Pethei","anomalías de Ce en carbonatos, circulación y modelo de oxidación","dependiente de quimioclina, mezcla y cinética de Ce","inferido","S554 resumen; modelo de mezcla oceánica y oxidación de Ce","C-1939"
"O₂ disuelto somero del Proterozoico medio","<0,2; alrededor de 0,2","µM O₂","antes y después de aproximadamente 1,54 Ga, respectivamente","REE+Y, anomalías de Ce y elementos sensibles a redox","estimaciones regionales; no media global","inferido","S557 resumen; Results; conclusión","C-1940"
"pO₂ atmosférica neoproterozoica reconstruida","aproximadamente 1–50","% PAL","Neoproterozoico","balance isotópico y tasas de reciclaje tectónico","intervalo de oscilación del modelo; no IC","inferido","S555 resumen; modelo cuantitativo continuo","C-1941"
"O₂ disuelto medio en hábitats marinos someros","0–22","µmol kg⁻¹ O₂","mayor parte del Neoproterozoico","SGP, remuestreo, bosques aleatorios y cGENIE","rango reconstruido de media somera; no cada cuenca","inferido","S556 Results/Discussion; fig. 5e; Methods §§Random forest analyses y Earth system modelling","C-1942"
"O₂ disuelto superficial durante Lomagundi",">1","µM O₂","aproximadamente 2,22–2,10 Ga","I/(Ca+Mg) en carbonatos y umbral de estabilidad de IO₃⁻","límite inferior; no media oceánica ni concentración profunda","inferido","S558 Conclusion, pp. 621–622; fig. 1; tabla 1","C-1944"
